关卡ID;关卡名称;剧情描述;战役ID;战役描述;NPC名称;NPCID;NPC类型;重复次数;武将XP;银币;失败获得银币;获得道具
battlefirstID;bName;bDesc;bSubID;bSubDesc;bNPCName;bNPCID;bNPCType;bResetTimes;bGEXP;bMoney;bFailureMoney;bGetProp
100001;狗牢关;天将降大任与斯人也，必先暴其菊花！;101001;你谁呀，追我干啥玩意啊？;小地痞;"[""600001""]";0;99;53;212;64;
100001;狗牢关;;101002;卧槽，我小弟你都敢动，活拧了吧！;大流氓;"[""600002"",""600003""]";1;10;59;236;71;"[{""400021"":100}]"
100001;狗牢关;;101003;完胜我，你能得到3倍经验。;黄毛I;"[""600004"",""600005""]";0;99;53;212;64;
100001;狗牢关;;101004;_嗦;黄毛II;"[""600006"",""600007""]";0;99;53;212;64;
100001;狗牢关;;101005;不罗嗦;黄毛III;"[""600008"",""600009""]";0;99;53;212;64;
100001;狗牢关;;101006;小马哥;许文强;"[""600010"",""600011""]";2;5;80;320;96;"[{""400020"":100}]"
100002;废水之战;废水河边大战三百合;101101;八格牙路;小弟I;"[""600012"",""600013"",""600014""]";0;99;53;212;64;
100002;废水之战;;101102;压机给给;小弟II;"[""600015"",""600016"",""600017""]";0;99;53;212;64;
100002;废水之战;;101103;逼吃锤乌拉雷;大流氓;"[""600018"",""600019"",""600020""]";1;10;59;236;71;"[{""400021"":20}]"
100002;废水之战;;101104;再逼吃再锤，再乌拉再雷！;老弟I;"[""600021"",""600022"",""600023""]";0;99;53;212;64;
100002;废水之战;;101105;左青龙右白虎;老弟II;"[""600024"",""600025"",""600026""]";0;99;53;212;64;
100002;废水之战;;101106;吾乃西席白纸扇;文少;"[""600027"",""600028"",""600029""]";1;10;59;236;71;"[{""400023"":20}]"
100002;废水之战;;101107;金牌双花大红棍;冯敬尧;"[""600030"",""600031"",""600032""]";2;5;80;320;96;"[{""400020"":20}]"
