角色等级;升级经验;军令上限;军令增长间隔（秒）;战书上限;战书增长间隔（秒）;武将位数量;阵位数量;开放功能1;开放功能2;开放功能3;武将等级上限;装备等级上限
characterLevel;cEXP;cArmyTokenLimit;cArmyTokenTimes;cGauntletLimit;cGauntletTimes;cGeneralsNumber;cArrayPositionNumber;cOpenFunction1;cOpenFunction2;cOpenFunction3;cGeneralsLevleLimit;cEquipmentLevelLimit
1;1150;13;300;7;900;2;2;;;;3;3
2;1222;13;300;7;900;2;2;;;;6;6
3;1313;13;300;7;900;3;3;;;;9;9
4;1429;13;300;7;900;3;3;;;;12;12
5;1574;14;300;7;900;3;3;;;;15;15
6;1754;14;300;7;900;3;3;;;;18;18
7;1973;14;300;7;900;3;3;;;;21;21
8;2236;14;300;7;900;3;3;;;;24;24
9;2547;15;300;8;900;4;4;;;;27;27
10;2909;15;300;8;900;4;4;;;;30;30
11;3327;15;300;8;900;5;5;;;;33;33
12;3804;15;300;8;900;5;5;;;;36;36
13;4345;16;300;8;900;5;5;;;;39;39
14;4951;16;300;8;900;5;5;;;;42;42
15;5628;16;300;8;900;6;6;;;;45;45
16;6378;16;300;8;900;6;6;;;;48;48
17;7204;17;300;9;900;6;6;;;;51;51
18;8110;17;300;9;900;6;6;;;;54;54
19;9099;17;300;9;900;7;7;;;;57;57
20;10174;17;300;9;900;7;7;;;;60;60
21;11338;18;300;9;900;7;7;;;;63;63
22;12594;18;300;9;900;8;8;;;;66;66
23;13945;18;300;9;900;8;8;;;;69;69
24;15394;18;300;9;900;8;8;;;;72;72
25;16944;18;300;9;900;8;8;;;;75;75
26;18598;19;300;10;900;8;8;;;;78;78
27;20358;19;300;10;900;8;8;;;;81;81
28;22227;19;300;10;900;8;8;;;;84;84
29;24209;19;300;10;900;8;8;;;;87;87
30;26305;20;300;10;900;8;8;;;;90;90
31;28518;20;300;10;900;8;8;;;;93;93
32;30851;20;300;10;900;8;8;;;;96;96
33;33307;20;300;10;900;8;8;;;;99;99
34;35888;21;300;11;900;8;8;;;;102;102
35;38597;21;300;11;900;8;8;;;;105;105
36;41437;21;300;11;900;8;8;;;;108;108
37;44409;21;300;11;900;8;8;;;;111;111
38;47516;22;300;11;900;8;8;;;;114;114
39;50762;22;300;11;900;8;8;;;;117;117
40;54147;22;300;11;900;8;8;;;;120;120
41;57675;22;300;11;900;8;8;;;;123;123
42;61349;23;300;12;900;8;8;;;;126;126
43;65170;23;300;12;900;8;8;;;;129;129
44;69141;23;300;12;900;8;8;;;;132;132
45;73264;23;300;12;900;8;8;;;;135;135
46;77541;24;300;12;900;8;8;;;;138;138
47;81976;24;300;12;900;8;8;;;;141;141
48;86570;24;300;12;900;8;8;;;;144;144
49;91325;24;300;12;900;8;8;;;;147;147
50;96245;24;300;12;900;8;8;;;;150;150
