培养类型;消耗潜力;属性增加值;属性减少值;规则选择几率;攻击选择概率;防御选择概率;智力选择概率;血量选择概率
cultureType;cPotentialConsumption;cAttributeIncrease;cAttributeReduce;cRuleProbability;cATKProbability;cDEFProbability;cINTProbability;cHPProbability
1;0;1;1;10;20;25;25;30
1;0;2;2;10;20;25;25;30
1;0;3;3;1;20;25;25;30
1;1;2;1;1500;20;25;25;30
1;1;3;2;3000;20;25;25;30
1;2;3;1;4000;20;25;25;30
1;2;4;2;1000;20;25;25;30
1;3;4;1;479;20;25;25;30
2;0;1;1;10;20;25;25;30
2;0;2;2;10;20;25;25;30
2;0;3;3;10;20;25;25;30
2;0;4;4;1;20;25;25;30
2;0;5;5;1;20;25;25;30
2;0;6;6;1;20;25;25;30
2;2;3;1;1500;20;25;25;30
2;2;4;2;1000;20;25;25;30
2;3;4;1;800;20;25;25;30
2;3;5;2;700;20;25;25;30
2;3;6;3;600;20;25;25;30
2;4;5;1;900;20;25;25;30
2;4;6;2;800;20;25;25;30
2;4;7;3;700;20;25;25;30
2;4;8;4;600;20;25;25;30
2;5;6;1;500;20;25;25;30
2;5;7;2;400;20;25;25;30
2;5;8;3;300;20;25;25;30
2;5;9;4;200;20;25;25;30
2;6;7;1;500;20;25;25;30
2;6;8;2;300;20;25;25;30
2;6;9;3;167;20;25;25;30
