进阶次数;转生次数;转生称号;阶数;1星潜力;1星增长;2星潜力;2星增长;3星潜力;3星增长;4星潜力;4星增长;5星潜力;5星增长
advancedTime;aReincarnationNumber;aReincarnationTitle;aNumber;a1StarPotential;a1StarGrowth;a2StarPotential;a2StarGrowth;a3StarPotential;a3StarGrowth;a4StarPotential;a4StarGrowth;a5StarPotential;a5StarGrowth
1;0;;1;15;5;25;10;30;15;40;20;45;25
2;1;真_;0;15;5;25;10;30;15;40;20;45;25
3;1;真_;1;15;5;25;10;30;15;40;20;45;25
4;1;真_;2;15;5;25;10;30;15;40;20;45;25
5;1;真_;3;15;5;25;10;30;15;40;20;45;25
6;2;霸_;0;15;5;25;10;30;15;40;20;45;25
7;2;霸_;1;15;5;25;10;30;15;40;20;45;25
8;2;霸_;2;15;5;25;10;30;15;40;20;45;25
9;2;霸_;3;15;5;25;10;30;15;40;20;45;25
10;2;霸_;4;15;5;25;10;30;15;40;20;45;25
11;2;霸_;5;15;5;25;10;30;15;40;20;45;25
12;3;魔_;0;15;5;25;10;30;15;40;20;45;25
13;3;魔_;1;15;5;25;10;30;15;40;20;45;25
14;3;魔_;2;15;5;25;10;30;15;40;20;45;25
15;3;魔_;3;15;5;25;10;30;15;40;20;45;25
16;3;魔_;4;15;5;25;10;30;15;40;20;45;25
17;3;魔_;5;15;5;25;10;30;15;40;20;45;25
18;3;魔_;6;15;5;25;10;30;15;40;20;45;25
19;3;魔_;7;15;5;25;10;30;15;40;20;45;25
20;4;仙_;0;15;5;25;10;30;15;40;20;45;25
21;4;仙_;1;15;5;25;10;30;15;40;20;45;25
22;4;仙_;2;15;5;25;10;30;15;40;20;45;25
23;4;仙_;3;15;5;25;10;30;15;40;20;45;25
24;4;仙_;4;15;5;25;10;30;15;40;20;45;25
25;4;仙_;5;15;5;25;10;30;15;40;20;45;25
26;4;仙_;6;15;5;25;10;30;15;40;20;45;25
27;4;仙_;7;15;5;25;10;30;15;40;20;45;25
28;4;仙_;8;15;5;25;10;30;15;40;20;45;25
29;4;仙_;9;15;5;25;10;30;15;40;20;45;25
30;5;灵_;0;15;5;25;10;30;15;40;20;45;25
31;5;灵_;1;15;5;25;10;30;15;40;20;45;25
32;5;灵_;2;15;5;25;10;30;15;40;20;45;25
33;5;灵_;3;15;5;25;10;30;15;40;20;45;25
34;5;灵_;4;15;5;25;10;30;15;40;20;45;25
35;5;灵_;5;15;5;25;10;30;15;40;20;45;25
36;5;灵_;6;15;5;25;10;30;15;40;20;45;25
37;5;灵_;7;15;5;25;10;30;15;40;20;45;25
38;5;灵_;8;15;5;25;10;30;15;40;20;45;25
39;5;灵_;9;15;5;25;10;30;15;40;20;45;25
40;5;灵_;10;15;5;25;10;30;15;40;20;45;25
41;5;灵_;11;15;5;25;10;30;15;40;20;45;25
42;6;神_;0;15;5;25;10;30;15;40;20;45;25
43;6;神_;1;15;5;25;10;30;15;40;20;45;25
44;6;神_;2;15;5;25;10;30;15;40;20;45;25
45;6;神_;3;15;5;25;10;30;15;40;20;45;25
46;6;神_;4;15;5;25;10;30;15;40;20;45;25
47;6;神_;5;15;5;25;10;30;15;40;20;45;25
48;6;神_;6;15;5;25;10;30;15;40;20;45;25
49;6;神_;7;15;5;25;10;30;15;40;20;45;25
50;6;神_;8;15;5;25;10;30;15;40;20;45;25
51;6;神_;9;15;5;25;10;30;15;40;20;45;25
52;6;神_;10;15;5;25;10;30;15;40;20;45;25
53;6;神_;11;15;5;25;10;30;15;40;20;45;25
54;6;神_;12;15;5;25;10;30;15;40;20;45;25
55;6;神_;13;15;5;25;10;30;15;40;20;45;25
56;7;极_;0;15;5;25;10;30;15;40;20;45;25
57;7;极_;1;15;5;25;10;30;15;40;20;45;25
58;7;极_;2;15;5;25;10;30;15;40;20;45;25
59;7;极_;3;15;5;25;10;30;15;40;20;45;25
60;7;极_;4;15;5;25;10;30;15;40;20;45;25
61;7;极_;5;15;5;25;10;30;15;40;20;45;25
62;7;极_;6;15;5;25;10;30;15;40;20;45;25
63;7;极_;7;15;5;25;10;30;15;40;20;45;25
64;7;极_;8;15;5;25;10;30;15;40;20;45;25
65;7;极_;9;15;5;25;10;30;15;40;20;45;25
66;7;极_;10;15;5;25;10;30;15;40;20;45;25
67;7;极_;11;15;5;25;10;30;15;40;20;45;25
68;7;极_;12;15;5;25;10;30;15;40;20;45;25
69;7;极_;13;15;5;25;10;30;15;40;20;45;25
70;7;极_;14;15;5;25;10;30;15;40;20;45;25
71;7;极_;15;15;5;25;10;30;15;40;20;45;25
72;7;极_;16;15;5;25;10;30;15;40;20;45;25
73;7;极_;17;15;5;25;10;30;15;40;20;45;25
74;7;极_;18;15;5;25;10;30;15;40;20;45;25
75;7;极_;19;15;5;25;10;30;15;40;20;45;25
76;7;极_;20;15;5;25;10;30;15;40;20;45;25
77;7;极_;21;15;5;25;10;30;15;40;20;45;25
