VIP等级;VIP达成条件;可购买VIP礼包ID;VIP礼包原价;VIP礼包特价;强化暴击等级;暴击概率;竞技挑战次数;好友上限;闯关次数重置开启;精英副本重置次数;银矿可占数量;通天塔刷新次数;通天塔刷新价格;每日购买骰子数;功能描述
vipLevel;vCondition;vCanBuyPackge;vPackgePrice;vPackgeDiscountPrice;vStrengthenCritLevel;vCritProbability;vPKTimes;vFriendsLimit;vBattleTimesReset;vEliteTimesReset;vOccupationSilverNumber;vDagobaTimesReset;vDagobaResetPrice;vBuyDiceNumber;vDesc
0;;;;;1;100;5;10;0;0;1;1;10;0;
1;10;200062;48;6;2;10,90;5;10;0;0;1;1;10;0;1.可购买VIP1礼包2.强化可出现暴击，随机提高装备等级1-2级
2;40;200063;248;46;3;10,75,15;6;10;0;0;1;1;10;0;1.可购买VIP2礼包2.强化可出现暴击，随机提高装备等级1-3级3.每日初始擂台挑战次数6次4.(包含VIP1所有功能)
3;50;200064;480;96;4;10,60,15,15;7;15;1;0;1;1;10;1;1.可购买VIP3礼包2.强化可出现暴击，随机提高装备等级1-4级3.战役中的战斗次数可用元宝清除4.每日初始擂台挑战次数7次5.14级开启战役扫荡功能6.兵法开启一键进阶功能7.(包含VIP1-2所有功能)
4;100;200065;880;166;5;10,45,15,15,15;8;15;1;0;1;2;20;1;1.可购买VIP4礼包2.强化可出现暴击，随机提高装备等级1-5级3.每日初始擂台挑战次数8次4.通天塔可重置2次NPC组合5.(包含VIP1-3所有功能)
5;200;200066;1980;296;6;10,30,15,15,15,15;9;15;1;1;2;2;20;1;1.可购买VIP5礼包2.强化可出现暴击，随机提高装备等级1-6级3.每日军令可恢复次数增加5次（共6次）4.每日战书可恢复次数增加5次（共6次）5.每日初始擂台挑战次数9次6.银矿战可占领2个矿7.城防上限可购买至1508.每日探索购买次数增加2次（共3次）8.(包含VIP1-4所有功能)
6;500;200067;2980;496;7;10,15,15,15,15,15,15;10;20;1;1;2;3;40;1;1.可购买VIP6礼包2.强化可出现暴击，随机提高装备等级1-7级3.每日初始擂台挑战次数10次4.战役扫荡功能可以使用元宝清除CD5.通天塔可重置3次NPC组合6.国战个人部队外观奢华7.(包含VIP1-5所有功能)
7;1000;200068;4990;996;7;10,15,15,15,15,15,15;11;20;1;2;2;3;40;2;1.可购买VIP7礼包2.每日军令可恢复次数增加15次（共21次）3.每日战书可恢复次数增加15次（共21次）4.每日初始擂台挑战次数11次5.城防上限可购买至2006.每日探索购买次数增加2次（共3次）7.(包含VIP1-6所有功能)
8;2000;200069;9990;1996;7;10,15,15,15,15,15,15;12;20;1;2;3;3;40;2;1.可购买VIP8礼包2.每日初始擂台挑战次数12次3.银矿战可占领3个矿4.(包含VIP1-7所有功能)
9;5000;200070;16880;2996;7;10,15,15,15,15,15,15;13;30;1;3;3;4;80;2;1.可购买VIP9礼包2.每日军令可恢复次数增加25次（共46次）3.每日战书可恢复次数增加25次（共46次）4.每日初始擂台挑战次数13次6.通天塔可重置4次NPC组合7.城防上限可购买至2508.国战个人部队外观更奢华每日探索购买次数增加5次（共10次）10.(包含VIP1-8所有功能)
10;8000;200071;26880;3696;7;10,15,15,15,15,15,15;14;30;1;3;3;4;80;2;1.可购买VIP10礼包2.每日初始擂台挑战次数14次3.(包含VIP1-9所有功能)
11;15000;200072;46880;8696;7;10,15,15,15,15,15,15;15;30;1;3;3;5;80;4;1.可购买VIP11礼包2.每日初始擂台挑战次数15次3.通天塔可重置5次NPC组合4.城防上限可购买至3005.(包含VIP1-10所有功能)
12;30000;200073;63880;12696;7;10,15,15,15,15,15,15;16;30;1;3;3;5;160;4;1.可购买VIP12礼包2.每日初始擂台挑战次数16次3.(包含VIP1-11所有功能)
13;50000;200074;99880;19886;7;10,15,15,15,15,15,15;17;40;1;3;3;5;160;6;1.可购买VIP13礼包2.每日初始擂台挑战次数17次3.(包含VIP1-12所有功能)
14;100000;200075;159880;29886;7;10,15,15,15,15,15,15;18;40;1;3;3;5;160;6;1.可购买VIP14礼包2.每日初始擂台挑战次数18次3.(包含VIP1-13所有功能)
15;150000;200087;209880;39886;7;10,15,15,15,15,15,15;19;50;1;3;3;5;160;6;1.可购买VIP15礼包2.每日初始擂台挑战次数19次3.(包含VIP1-14所有功能)
16;200000;200136;259880;49886;7;10,15,15,15,15,15,15;20;50;1;3;3;5;160;6;1.可购买VIP16礼包2.每日初始擂台挑战次数20次3.(包含VIP1-15所有功能)
17;250000;200175;309880;59886;7;10,15,15,15,15,15,15;20;50;1;3;3;5;160;6;1.可购买VIP17礼包2.(包含VIP1-16所有功能)
18;300000;200183;359880;69886;7;10,15,15,15,15,15,15;20;50;1;3;3;5;160;6;1.可购买VIP18礼包2.(包含VIP1-17所有功能)
19;350000;200184;409880;79886;7;10,15,15,15,15,15,15;20;50;1;3;3;5;160;6;1.可购买VIP19礼包2.(包含VIP1-18所有功能)
20;400000;200185;459880;89886;7;10,15,15,15,15,15,15;20;50;1;3;3;5;160;6;1.可购买VIP20礼包2.(包含VIP1-19所有功能)
